###### GATHER WARNING ######
# NO Gathering method specified ! 
# Thus : if the system is requested to be gathered, 
# the gathering will be done according to the 1st atom of the previous molecule
#                      selected      heavy sasa
# time                    atoms           atoms
   10.000000000     3.613317080     3.613317080
   10.500000000     3.612444631     3.612444631
   11.000000000     3.613261790     3.613261790
   11.500000000     3.612841717     3.612841717
   12.000000000     3.612325371     3.612325371
   12.500000000     3.613837588     3.613837588
   13.000000000     3.612542538     3.612542538
   13.500000000     3.612843293     3.612843293
   14.000000000     3.612358159     3.612358159
   14.500000000     3.612590109     3.612590109
   15.000000000     3.612806149     3.612806149
   15.500000000     3.611986830     3.611986830
   16.000000000     3.612410894     3.612410894
   16.500000000     3.612397324     3.612397324
   17.000000000     3.612465204     3.612465204
   17.500000000     3.612772853     3.612772853
   18.000000000     3.612505963     3.612505963
   18.500000000     3.612862482     3.612862482
   19.000000000     3.612424891     3.612424891
   19.500000000     3.612620253     3.612620253
   20.000000000     3.612921600     3.612921600
   20.500000000     3.612587401     3.612587401
   21.000000000     3.612693703     3.612693703
   21.500000000     3.612053339     3.612053339
   22.000000000     3.612242719     3.612242719
   22.500000000     3.613180342     3.613180342
   23.000000000     3.612702037     3.612702037
   23.500000000     3.612883601     3.612883601
   24.000000000     3.612549552     3.612549552
   24.500000000     3.612616760     3.612616760
   25.000000000     3.613102980     3.613102980
   25.500000000     3.612568986     3.612568986
   26.000000000     3.612652214     3.612652214
   26.500000000     3.612560767     3.612560767
   27.000000000     3.612058569     3.612058569
   27.500000000     3.612476552     3.612476552
   28.000000000     3.613316603     3.613316603
   28.500000000     3.613163830     3.613163830
   29.000000000     3.612046267     3.612046267
   29.500000000     3.612926006     3.612926006
   30.000000000     3.613392120     3.613392120
   30.500000000     3.612161332     3.612161332
   31.000000000     3.612969037     3.612969037
   31.500000000     3.612498926     3.612498926
   32.000000000     3.611822368     3.611822368
   32.500000000     3.612188094     3.612188094
   33.000000000     3.611997003     3.611997003
   33.500000000     3.612467043     3.612467043
   34.000000000     3.612370648     3.612370648
   34.500000000     3.612143753     3.612143753
   35.000000000     3.611864568     3.611864568
   35.500000000     3.611903758     3.611903758
   36.000000000     3.612396244     3.612396244
   36.500000000     3.612833305     3.612833305
   37.000000000     3.612324912     3.612324912
   37.500000000     3.612253480     3.612253480
   38.000000000     3.613441132     3.613441132
   38.500000000     3.613537199     3.613537199
