###### GATHER WARNING ######
# NO Gathering method specified ! 
# Thus : if the system is requested to be gathered, 
# the gathering will be done according to the 1st atom of the previous molecule
#                      selected      heavy sasa
# time                    atoms           atoms
   10.000000000     5.567964809     5.567964809
   10.500000000     5.569052738     5.569052738
   11.000000000     5.567485011     5.567485011
   11.500000000     5.568998211     5.568998211
   12.000000000     5.568981878     5.568981878
   12.500000000     5.570057722     5.570057722
   13.000000000     5.567938501     5.567938501
   13.500000000     5.568906457     5.568906457
   14.000000000     5.569324747     5.569324747
   14.500000000     5.570030012     5.570030012
   15.000000000     5.569627529     5.569627529
   15.500000000     5.568347047     5.568347047
   16.000000000     5.569226199     5.569226199
   16.500000000     5.570206451     5.570206451
   17.000000000     5.569718727     5.569718727
   17.500000000     5.568801091     5.568801091
   18.000000000     5.569705404     5.569705404
   18.500000000     5.570166456     5.570166456
   19.000000000     5.568852586     5.568852586
   19.500000000     5.569520409     5.569520409
   20.000000000     5.569351782     5.569351782
   20.500000000     5.569051226     5.569051226
   21.000000000     5.569974055     5.569974055
   21.500000000     5.568573015     5.568573015
   22.000000000     5.569157752     5.569157752
   22.500000000     5.569788135     5.569788135
   23.000000000     5.569139324     5.569139324
   23.500000000     5.568002747     5.568002747
   24.000000000     5.570133743     5.570133743
   24.500000000     5.568175516     5.568175516
   25.000000000     5.571791192     5.571791192
   25.500000000     5.567376667     5.567376667
   26.000000000     5.568829780     5.568829780
   26.500000000     5.567886098     5.567886098
   27.000000000     5.569704900     5.569704900
   27.500000000     5.567632657     5.567632657
   28.000000000     5.568674710     5.568674710
   28.500000000     5.568250516     5.568250516
   29.000000000     5.569991024     5.569991024
   29.500000000     5.570147721     5.570147721
   30.000000000     5.568141930     5.568141930
   30.500000000     5.568818989     5.568818989
   31.000000000     5.568930785     5.568930785
   31.500000000     5.569335970     5.569335970
   32.000000000     5.569236145     5.569236145
   32.500000000     5.569677574     5.569677574
   33.000000000     5.569603561     5.569603561
   33.500000000     5.570484370     5.570484370
   34.000000000     5.570147131     5.570147131
   34.500000000     5.568645515     5.568645515
   35.000000000     5.569120432     5.569120432
   35.500000000     5.567203371     5.567203371
   36.000000000     5.569463909     5.569463909
   36.500000000     5.569528877     5.569528877
   37.000000000     5.568668198     5.568668198
   37.500000000     5.568711441     5.568711441
   38.000000000     5.569611317     5.569611317
   38.500000000     5.567647578     5.567647578
   39.000000000     5.568647231     5.568647231
   39.500000000     5.566922200     5.566922200
   40.000000000     5.567450900     5.567450900
   40.500000000     5.569016979     5.569016979
   41.000000000     5.565682446     5.565682446
   41.500000000     5.567266588     5.567266588
   42.000000000     5.569686143     5.569686143
   42.500000000     5.568646129     5.568646129
   43.000000000     5.568120314     5.568120314
   43.500000000     5.567862397     5.567862397
   44.000000000     5.569066675     5.569066675
   44.500000000     5.572171890     5.572171890
   45.000000000     5.568873566     5.568873566
   45.500000000     5.566494844     5.566494844
   46.000000000     5.569562101     5.569562101
   46.500000000     5.571548515     5.571548515
   47.000000000     5.569477858     5.569477858
   47.500000000     5.568395664     5.568395664
   48.000000000     5.567504989     5.567504989
   48.500000000     5.570345245     5.570345245
   49.000000000     5.568655002     5.568655002
   49.500000000     5.568194188     5.568194188
   50.000000000     5.569046646     5.569046646
   50.500000000     5.569346262     5.569346262
   51.000000000     5.568259662     5.568259662
   51.500000000     5.569764070     5.569764070
   52.000000000     5.569219179     5.569219179
   52.500000000     5.569473958     5.569473958
   53.000000000     5.568912954     5.568912954
   53.500000000     5.569390687     5.569390687
   54.000000000     5.569629692     5.569629692
   54.500000000     5.568361327     5.568361327
   55.000000000     5.569603978     5.569603978
   55.500000000     5.569078297     5.569078297
   56.000000000     5.569431167     5.569431167
   56.500000000     5.568336591     5.568336591
   57.000000000     5.570533290     5.570533290
   57.500000000     5.568774569     5.568774569
   58.000000000     5.570611244     5.570611244
   58.500000000     5.568994641     5.568994641
   59.000000000     5.569585454     5.569585454
   59.500000000     5.568716719     5.568716719
   60.000000000     5.566887718     5.566887718
   60.500000000     5.568788084     5.568788084
   61.000000000     5.568518902     5.568518902
   61.500000000     5.568478518     5.568478518
   62.000000000     5.567478783     5.567478783
   62.500000000     5.568996729     5.568996729
   63.000000000     5.568555602     5.568555602
   63.500000000     5.568730024     5.568730024
   64.000000000     5.569770123     5.569770123
   64.500000000     5.568710237     5.568710237
   65.000000000     5.568363413     5.568363413
   65.500000000     5.569922477     5.569922477
   66.000000000     5.570736226     5.570736226
   66.500000000     5.568752001     5.568752001
   67.000000000     5.569246169     5.569246169
   67.500000000     5.568283152     5.568283152
   68.000000000     5.569735007     5.569735007
   68.500000000     5.568571589     5.568571589
   69.000000000     5.568834160     5.568834160
   69.500000000     5.569213646     5.569213646
   70.000000000     5.568852688     5.568852688
   70.500000000     5.568546023     5.568546023
   71.000000000     5.568589850     5.568589850
   71.500000000     5.568459523     5.568459523
   72.000000000     5.568248769     5.568248769
   72.500000000     5.567011522     5.567011522
   73.000000000     5.569107409     5.569107409
   73.500000000     5.569209112     5.569209112
   74.000000000     5.570534772     5.570534772
   74.500000000     5.567025618     5.567025618
   75.000000000     5.570001260     5.570001260
   75.500000000     5.567007015     5.567007015
   76.000000000     5.568550010     5.568550010
   76.500000000     5.568579313     5.568579313
   77.000000000     5.568214125     5.568214125
   77.500000000     5.568610317     5.568610317
   78.000000000     5.567772912     5.567772912
   78.500000000     5.568541470     5.568541470
   79.000000000     5.570052638     5.570052638
   79.500000000     5.568146250     5.568146250
   80.000000000     5.568886078     5.568886078
   80.500000000     5.568799288     5.568799288
   81.000000000     5.568596856     5.568596856
   81.500000000     5.568221620     5.568221620
   82.000000000     5.567801146     5.567801146
   82.500000000     5.567295631     5.567295631
   83.000000000     5.569605419     5.569605419
   83.500000000     5.569410511     5.569410511
   84.000000000     5.568440021     5.568440021
   84.500000000     5.568609397     5.568609397
   85.000000000     5.569941086     5.569941086
   85.500000000     5.569490173     5.569490173
   86.000000000     5.567325383     5.567325383
   86.500000000     5.567585284     5.567585284
   87.000000000     5.566495908     5.566495908
   87.500000000     5.566876550     5.566876550
   88.000000000     5.568461154     5.568461154
   88.500000000     5.566841702     5.566841702
   89.000000000     5.568186555     5.568186555
   89.500000000     5.569861778     5.569861778
   90.000000000     5.567090349     5.567090349
   90.500000000     5.568169146     5.568169146
   91.000000000     5.569713129     5.569713129
   91.500000000     5.569030843     5.569030843
   92.000000000     5.568495594     5.568495594
   92.500000000     5.567173284     5.567173284
   93.000000000     5.568267542     5.568267542
   93.500000000     5.568188526     5.568188526
   94.000000000     5.568611843     5.568611843
   94.500000000     5.567547722     5.567547722
   95.000000000     5.568381383     5.568381383
   95.500000000     5.567967892     5.567967892
   96.000000000     5.567716121     5.567716121
   96.500000000     5.567648031     5.567648031
   97.000000000     5.566670382     5.566670382
   97.500000000     5.566756593     5.566756593
   98.000000000     5.569245164     5.569245164
   98.500000000     5.568834488     5.568834488
   99.000000000     5.567691579     5.567691579
   99.500000000     5.567103682     5.567103682
#
# ave.             5.5687602882    5.5687602882
#
# average contribution per selected heavy atom
#
#   atom   residue name            SASA      % selected    % sasa atoms
#    1:2    1  ALA    N         0.35910         6.44855         6.44855 
#    1:4    1  ALA   CA         0.44892         8.06132         8.06132 
#    1:5    1  ALA   CB         0.55551         9.97552         9.97552 
#    1:6    1  ALA    C         0.00000         0.00000         0.00000 
#    1:7    1  ALA    O         0.00000         0.00000         0.00000 
#    1:8    2  ALA    N         0.00000         0.00000         0.00000 
#   1:10    2  ALA   CA         0.19454         3.49343         3.49343 
#   1:11    2  ALA   CB         0.54997         9.87604         9.87604 
#   1:12    2  ALA    C         0.00129         0.02316         0.02316 
#   1:13    2  ALA    O         0.06985         1.25437         1.25437 
#   1:14    3  ALA    N         0.00000         0.00000         0.00000 
#   1:16    3  ALA   CA         0.40280         7.23323         7.23323 
#   1:17    3  ALA   CB         0.48154         8.64712         8.64712 
#   1:18    3  ALA    C         0.00000         0.00000         0.00000 
#   1:19    3  ALA    O         0.21573         3.87386         3.87386 
#   1:20    4  ALA    N         0.00000         0.00000         0.00000 
#   1:22    4  ALA   CA         0.22350         4.01342         4.01342 
#   1:23    4  ALA   CB         0.52377         9.40556         9.40556 
#   1:24    4  ALA    C         0.00000         0.00000         0.00000 
#   1:25    4  ALA    O         0.18020         3.23599         3.23599 
#   1:26    5  ALA    N         0.00000         0.00000         0.00000 
#   1:28    5  ALA   CA         0.28352         5.09132         5.09132 
#   1:29    5  ALA   CB         0.35395         6.35593         6.35593 
#   1:30    5  ALA    C         0.04693         0.84272         0.84272 
#   1:31    5  ALA   O1         0.37912         6.80805         6.80805 
#   1:32    5  ALA   O2         0.29851         5.36043         5.36043 
#
# total                         5.56876       100.00000       100.00000 
