n 	dGex_extend, 	dGcav_extend,	dGdisp_extend, SASA_extend, 	SASA_gromos
1,	7.752616869,	11.4681,	-0.06341,	228.69476, 	247.260
2,	10.4880776,	9.6699,	-0.18887,	207.828, 	353.189
3,	12.64149912,	7.68802,	-0.14980,	171.77717, 	437.466
4,	14.0202597,	13.41314,	-0.17885,	263.60202, 	505.948
5,	15.76708466,	14.33244,	-0.21152,	280.83239, 	556.876
6,	18.0072841,	16.44513,	-0.24687,	319.84050, 	618.798
7,	19.996296930,	21.59332,	-0.37502,	457.63460, 	691.578
8,	21.9155602,	23.84720,	-0.30997,	443.09325, 	738.71
9,	24.10394472,	13.41407,	-0.17367,	263.65232, 	799.865
10,	25.523042,	28.82951,	-0.52800,	532.55702, 	869.072
