n,	dGex_helix,		dGcav_helix,	dGdisp_helix,	SASA_helix
1,	6.350759990249997,	7.51926,	-0.15241,	168.80765
2,	10.1987553544,		9.91215,	-0.16696,	209.99097
3,	12.709414988999999,	11.46717,	-0.04046,	228.68114
4,	16.198747486249992,	12.79120,	-0.20403,	264.02443
5,	16.52478031174998,	12.77723,	-0.20622,	253.48135
6,	20.223287496749997,	4.40484,	-0.09120,	299.17534
7,	21.96932159325,	13.40454,	-0.20402,	263.51194
8,	23.102621995999996,	20.27949,	-0.18401,	380.80535
9,	24.66302255075003,	22.10803,	-0.30187,	414.88161
10,	26.584062238000005,	22.12127,	-0.30743,	415.11858
