#          time          totkin
              0      1973.83621
            0.2       5575.6354
            0.4      3611.14813
            0.6      2679.53679
            0.8      2148.64265
              1      1880.86361
            1.2      1702.44937
            1.4      1620.10272
            1.6      1629.54913
            1.8      1661.52584
              2      1618.03268
            2.2      1645.47018
            2.4      1615.17435
            2.6      1731.86895
            2.8      1702.99812
              3      1706.70603
            3.2      1789.03724
            3.4       1745.6584
            3.6       1778.1349
            3.8      1836.69437
              4      1746.49337
            4.2      1661.50139
            4.4      1765.54402
            4.6      1770.47443
            4.8       1879.0499
              5      1763.65606
            5.2      1760.33958
            5.4      1787.42025
            5.6      1806.25275
            5.8      1768.13555
              6      1857.64226
            6.2      1847.04341
            6.4      1852.09216
            6.6      1721.89056
            6.8      1659.11432
              7      1746.35299
            7.2      1808.98072
            7.4      1926.11651
            7.6       1918.8336
            7.8       1826.0973
              8       1833.3304
            8.2      1875.04256
            8.4      1880.63518
            8.6      1848.91575
            8.8      1791.02268
              9      1795.15996
            9.2      1847.91249
            9.4      1819.84516
            9.6      1850.49307
            9.8      1753.90258
             10      1773.22361
           10.2      1809.85614
           10.4      1685.60824
           10.6       1761.6055
           10.8       1725.9083
             11      1791.25834
           11.2      2001.38946
           11.4      1826.46005
           11.6      1860.27921
           11.8      1914.66553
             12      1800.58601
           12.2      1800.80927
           12.4      1844.67226
           12.6       1876.2303
           12.8      1794.56895
             13      1762.48022
           13.2      1807.76461
           13.4      1834.88511
           13.6      1761.46778
           13.8      1763.23644
             14      1837.40097
           14.2      1648.33378
           14.4      1779.55526
           14.6      1887.39044
           14.8      1814.41535
             15       1812.4081
           15.2      1784.41692
           15.4      1759.16493
           15.6      1725.19803
           15.8      1772.78422
             16      1809.87355
           16.2      1820.98987
           16.4      1845.76649
           16.6      1854.07088
           16.8      2006.12506
             17      1977.17942
           17.2      1914.71597
           17.4      1884.75313
           17.6      1946.27743
           17.8      1931.97552
             18        1891.575
           18.2      1878.91859
           18.4      1810.69405
           18.6      1798.42469
           18.8      1858.10291
             19      1877.56729
           19.2      1834.08062
           19.4      1862.82915
           19.6      1953.59874
           19.8      1964.41981
             20      1823.85636
           20.2      2920.79071
           20.4      3294.01788
           20.6      3469.88689
           20.8      3242.38993
             21      3315.36112
           21.2       3267.9865
           21.4      3251.89769
           21.6      3203.85257
           21.8      3233.91865
             22      3131.55547
           22.2      3210.50497
           22.4      3242.43785
           22.6      3227.44696
           22.8      3240.23931
             23      3257.02125
           23.2      3245.95717
           23.4      3272.26299
           23.6      3260.87112
           23.8       3189.9422
             24      3267.18578
           24.2      3191.32182
           24.4      3107.13336
           24.6      3155.99642
           24.8      3084.73562
             25      3214.00909
           25.2      3127.71421
           25.4      3218.77058
           25.6      3144.77239
           25.8      3154.36937
             26      3104.65167
           26.2      3040.49262
           26.4      3058.65019
           26.6      3108.49284
           26.8      3118.60534
             27      3093.58884
           27.2       3151.0191
           27.4      3172.90583
           27.6       3108.5006
           27.8      3166.91593
             28      3186.05072
           28.2      3234.23018
           28.4      3204.47115
           28.6      3151.91776
